2020-06-05 19:47:40,734 | INFO | POST Request for Face Reocgnition made
2020-06-05 19:47:41,129 | INFO | facerecogniseinimage called
2020-06-05 19:48:10,533 | INFO | faceexp called
2020-06-05 19:48:23,276 | INFO | faceexp called
2020-06-05 19:48:23,739 | INFO | faceexp called
2020-06-05 19:48:25,270 | INFO | faceexp called
2020-06-05 19:48:25,435 | INFO | faceexp called
2020-06-05 19:48:25,590 | INFO | faceexp called
2020-06-05 19:48:25,784 | INFO | faceexp called
2020-06-05 19:48:46,652 | INFO | POST Request for Face Reocgnition made
2020-06-05 19:48:46,768 | INFO | facerecogniseinimage called
2020-06-05 19:48:53,202 | INFO | faceexp called
2020-06-05 19:49:00,247 | INFO | faceexp called
2020-06-05 19:49:00,551 | INFO | faceexp called
2020-06-05 19:49:00,696 | INFO | faceexp called
2020-06-05 19:49:00,841 | INFO | faceexp called
2020-06-05 19:49:00,989 | INFO | faceexp called
2020-06-05 19:49:01,152 | INFO | faceexp called
2020-06-05 19:49:18,718 | INFO | POST Request for NSFW Classification made
2020-06-05 19:49:18,787 | INFO | nsfwclassifier called
2020-06-05 19:49:53,761 | INFO | POST Request for Similar Face Recognition made
2020-06-05 19:49:53,882 | INFO | similarface called
2020-06-05 21:15:14,400 | INFO | load_model called
2020-06-05 21:15:44,739 | INFO | remove_file_extension called
2020-06-05 21:15:44,786 | INFO | remove_file_extension called
2020-06-05 21:15:44,797 | INFO | remove_file_extension called
2020-06-05 21:15:44,798 | INFO | remove_file_extension called
2020-06-05 21:15:44,799 | INFO | remove_file_extension called
2020-06-05 21:15:44,800 | INFO | remove_file_extension called
2020-06-05 21:15:44,802 | INFO | remove_file_extension called
2020-06-05 21:15:44,804 | INFO | remove_file_extension called
2020-06-05 21:15:44,805 | INFO | remove_file_extension called
2020-06-05 21:15:44,806 | INFO | remove_file_extension called
2020-06-05 21:17:13,134 | INFO | load_model called
2020-06-05 21:17:43,639 | INFO | load_embeddings called
2020-06-05 21:17:43,640 | INFO | remove_file_extension called
2020-06-05 21:17:43,641 | INFO | remove_file_extension called
2020-06-05 21:17:43,642 | INFO | remove_file_extension called
2020-06-05 21:17:43,643 | INFO | remove_file_extension called
2020-06-05 21:17:43,643 | INFO | remove_file_extension called
2020-06-05 21:17:43,645 | INFO | remove_file_extension called
2020-06-05 21:17:43,647 | INFO | remove_file_extension called
2020-06-05 21:17:43,649 | INFO | remove_file_extension called
2020-06-05 21:17:43,649 | INFO | remove_file_extension called
2020-06-05 21:17:43,650 | INFO | remove_file_extension called
2020-06-05 21:19:51,700 | INFO | load_model called
2020-06-05 21:20:22,503 | INFO | load_embeddings called
2020-06-05 21:20:22,504 | INFO | remove_file_extension called
2020-06-05 21:20:22,505 | INFO | remove_file_extension called
2020-06-05 21:20:22,505 | INFO | remove_file_extension called
2020-06-05 21:20:22,507 | INFO | remove_file_extension called
2020-06-05 21:20:22,508 | INFO | remove_file_extension called
2020-06-05 21:20:22,509 | INFO | remove_file_extension called
2020-06-05 21:20:22,509 | INFO | remove_file_extension called
2020-06-05 21:20:22,510 | INFO | remove_file_extension called
2020-06-05 21:20:22,511 | INFO | remove_file_extension called
2020-06-05 21:20:22,512 | INFO | remove_file_extension called
2020-06-05 21:20:48,122 | INFO | load_model called
2020-06-05 21:21:13,222 | INFO | load_embeddings called
2020-06-05 21:21:13,223 | INFO | remove_file_extension called
2020-06-05 21:21:13,224 | INFO | remove_file_extension called
2020-06-05 21:21:13,225 | INFO | remove_file_extension called
2020-06-05 21:21:13,226 | INFO | remove_file_extension called
2020-06-05 21:21:13,227 | INFO | remove_file_extension called
2020-06-05 21:21:13,228 | INFO | remove_file_extension called
2020-06-05 21:21:13,228 | INFO | remove_file_extension called
2020-06-05 21:21:13,229 | INFO | remove_file_extension called
2020-06-05 21:21:13,230 | INFO | remove_file_extension called
2020-06-05 21:21:13,230 | INFO | remove_file_extension called
2020-06-05 21:28:59,218 | INFO | load_model called
2020-06-05 21:29:20,693 | INFO | load_embeddings called
2020-06-05 21:29:20,694 | INFO | remove_file_extension called
2020-06-05 21:29:20,695 | INFO | remove_file_extension called
2020-06-05 21:29:20,695 | INFO | remove_file_extension called
2020-06-05 21:29:20,696 | INFO | remove_file_extension called
2020-06-05 21:29:20,697 | INFO | remove_file_extension called
2020-06-05 21:29:20,697 | INFO | remove_file_extension called
2020-06-05 21:29:20,697 | INFO | remove_file_extension called
2020-06-05 21:29:20,698 | INFO | remove_file_extension called
2020-06-05 21:29:20,698 | INFO | remove_file_extension called
2020-06-05 21:29:20,699 | INFO | remove_file_extension called
